Brand,Model,Country,Price (USD),Plate,Plate Material,Wheelbase,CushionHardness 0-89A 90-100A,Boot Material,Wheels,wheel-size_mm,Wheel Hardness (Durometer),Toestop,Features,Link,Black,White,Colors,color_1,color_2,color_3,color_4,color_5,color_6,color_7,color_8
Riedell,Angel,USA,185,PowerDyne Thrust Nylon,Nylon,Eng,0-89,Vegan Leather,Radar Riva,62,85,Adjustable,"Beginner-friendly, indoor focus",https://roller.riedellskates.com/Product/set-111-Angel,Yes,Yes,No,,,,,,,,
Riedell,Crew,USA,200,PowerDyne Thrust Nylon,Nylon,Eng,0-89,Leather,Sonar Zen,62,85,Adjustable,Outdoor performance,https://roller.riedellskates.com/Product/set-crew,No,No,Yes,ffb711,086f95,861c1a,,,,
Riedell,Orbit,USA,130,Marvel Aluminum,Nylon,Eng,0-89,Vegan Leather,Sonar Zen,57,85,Adjustable,"Vibrant colors, outdoor focus",https://roller.riedellskates.com/Product/set-orbit,No,No,Yes,ee036c,6b3f9a,007e95,,,,,
Riedell,Boost,USA,205,PowerDyne Thrust Nylon,Nylon,Eng,0-89,Vegan Leather,Sonar Riva Black,57,96,Jam Plug,Bang for the buck,https://roller.riedellskates.com/Product/set-111-Boost,Yes,Yes,No,,,,,,,,
Riedell,Uptown,USA,290,PowerDyne Thrust Nylon,Nylon,Eng,0-89,Leather,RADAR Varsity Black,57,101,Jam Plug,Don’t see the benefit,https://roller.riedellskates.com/Product/set-120-Uptown,Yes,Yes,No,,,,,,,,
Sure-Grip,Boardwalk,USA,135,Avanti Aluminum,Aluminum,Weit,0-89,Suede,Boardwalk Wheels,65,78,Adjustable,"Outdoor focus, classic design",https://www.suregrip.com/products/copy-of-boardwalk-pastel?srsltid=AfmBOor9_88NQLYPhv7dvNaGZnxg4bUepr_WkTq7qt51a8Hd4lHocjAd,No,No,Yes,ffa6c1,dac5e6,89e0e4,c2e271,1f6646,000000,,
Sure-Grip,Fame,USA,145,USA Made Rock Nylon Plate,Nylon,Eng,0-89,Vegan Leather,Fame Wheels,57,85,Adjustable,Indoor and artistic,https://www.suregrip.com/products/fame-skate,Yes,Yes,No,,,,,,,,
Sure-Grip,Boardwalk Plus-Fame,USA,205,USA Made Rock Nylon Plate,Aluminum,Weit,0-89,Suede,Fame Wheels,57,78,Adjustable,High-quality outdoor skate,https://www.suregrip.com/products/boardwalk-plus-fame,Yes,Yes,No,,,,,,,,
Sure-Grip,Oxford Tipton,USA,199,USA Made Rock Nylon Plate,Aluminum,Weit,0-89,Suede,Tipton Wheels,57,95,Adjustable,A real stanced derby boot,https://www.suregrip.com/products/oxford-tipton,No,No,Yes,c4a580,60aba7,,,,,,
Sure-Grip,Boardwalk Avanti,USA,250,Sure-Grip Avanti Aluminum,Aluminum,Weit,0-89,Suede,Boardwalk Wheels,65,78,Adjustable,Advanced outdoor and indoor usability,https://www.suregrip.com/products/boardwalk-plus-avanti,No,No ,Yes,773c13,1c191c,,,,,,
Chaya,Melrose Premium,Germany,230,Chaya Zena,Aluminum,Eng,90-100,Vegan Leather,Chaya Mellows,62,78,Adjustable,"Stylish roller skates with a classic look,",https://powerslide.com/products/melrose-premium-juniper-green,No,No,Yes,ff820f,b4001e,005a46,1e1e1e,,,,
Chaya,Melrose Deluxe,Germany,105,Chaya Galaxy Evo,Aluminum,Eng,90-100,Vegan Leather,Chaya Sugar Rush,62,78,Adjustable,Classic throwback style with modern features,https://powerslide.com/products/melrose-deluxe-ruby,No,No,Yes,c8c8c8,00c8be,c00f00,3c3c3c,,,,
Chaya,Karma Pro,Germany,280,Chaya Shari,glass-fiber reinforced plastic,Eng,90-100,Sneaker,Chaya Firebolt,58,100,Adjustable, Unrivalled trick and park roller skate with composite flex shell,https://powerslide.com/collections/chaya-roller-skates/products/karma-pro?_pos=10&_fid=854466d15&_ss=c&variant=43635453559049&filter.v.availability=1,No ,No,Yes,780000,,,,,,,
Chaya,Classic Dance,Germany,150,Chaya Galaxy Evo,Aluminum,Eng,90-100,Vegan Leather,Chaya Groovy,58,98,Adjustable,Chaya Classic Dance Roller Skates -,https://powerslide.com/products/classic-dance-1,Yes,No,No,,,,,,,,
Chaya,Melrose Elite,Germany,145,glass-fiber reinforced plastic (GFRP),Aluminum,Eng,90-100,Vegan Leather,Chaya Clouds,62,78,Adjustable,"Lightweight, stylish for outdoor skating",https://powerslide.com/products/melrose-elite-purple-evil?_pos=2&_sid=864ac4d44&_ss=r,No,No,Yes,e97bbf,a5b0c5,284257,2c103a,,,,
Luna,Luna Basic,Germany,150,LunaPlate Basic,Aluminum,Weit,0-89,Leather,Luna,62,80,Adjustable,"Ergonomic fit, good for outdoor skating",https://www.luna-skates.de/en/#sources,No,Yes,Yes,c1a17b,9ac7bf,eaccd2,000000,,,,
Moxi,Beach Bunny,USA,149,Aluminum,Aluminum,Weit,0-89,Vegan Leather,Moxi Beach Bunny Wheels,58,78,Adjustable,"Affordable, beginner outdoor skates",https://www.moxiskates.com/pages/beach-bunny,No,No,Yes,fe7583,e89e7b,fdec59,6773dc,bcdde8,,,
Moxi,Lolly,USA,325,PowerDyne Thrust Nylon,Nylon,Eng,0-89,Suede,Maxi gummy Wheels,65,78,Adjustable,Pricy lightweight dance and park boot,https://www.moxiskates.com/collections/outdoor-lolly-completes,No,No ,Yes,cb2d2e,f95a1a,f2d000,00ba75,a0d7be,4f2d73,b596cc,07080a
Moxi,Panther,USA,195,Marvel Aluminum,Aluminum,Weit,0-89,Vegan Leather,Panther Wheels,58,78,Adjustable,Rugged outdoor performance,https://www.moxiskates.com/pages/panther-skate,Yes,No,No,,,,,,,,
Moxi,Rainbow Rider,USA,130,Marvel Nylon,Aluminium,Weit,0-89,Vegan Leather,Rainbow Wheels,58,82,Adjustable,"Vibrant colors, beginner-friendly",https://www.moxiskates.com/pages/the-rainbow-rider,No,No,Yes,ffdf00,fbb5d8,07080a,,,,,
Crazy Skates,Evoke,Australia,180,Galaxy Plate,Nylon,Eng,0-89,Suede,Candy Wheels ,65,78,Adjustable,"Great for artistic skating, light design",https://crazyskates.com.au/products/evoke-roller-skates?srsltid=AfmBOoqkM6TB_tA01ix7MVBd-yW26JuxIwrFzM9AHfevXzHwZjZkLMSX,No,No,Yes,15c5bb,615199,00000,,,,,
Rookie,Artistics,UK,130,Aluminum,Aluminum,Eng,0-89,Vegan Leather,Rookie Wheels,58,80,Adjustable,For outdoor and artistic skating,https://rookieskates.com/en-eu/collections/rookie-artistic-collection,Yes,Yes,No,,,,,,,,
Flaneurz x Slades,Slades S-Quad,France,175,Slades Series,High impact polypropylene,Weit,0-89,Sneaker,Slades Wheels,62,80,Adjustable,Detachable Roller Skates,https://www.flaneurz.com/en/slades.html,Yes,Yes,No,,,,,,,,
WIFA,,,,,,,,,,,,,,,,,,,,,,,,,
WIFA,,,,,,,,,,,,,,,,,,,,,,,,,
WIFA,,,,,,,,,,,,,,,,,,,,,,,,,
Belati,,,,,,,,,,,,,,,,,,,,,,,,,
Edea,,,,,,,,,,,,,,,,,,,,,,,,,
Risport,,,,,,,,,,,,,,,,,,,,,,,,,
